predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,0,0,0,1243,825,418,1243
alter.01,0,0,0,0,0,1335,759,576,1335
begin.01,0,0,0,0,0,519,482,37,519
begin.02,0,0,0,0,0,3487,2448,1039,3487
block.01,0,0,0,0,0,2189,1351,838,2189
catalyse.01,0,0,0,0,0,833,621,212,833
confer.01,0,0,0,0,0,3658,2457,1201,3658
decrease.01,0,0,0,0,0,2550,2122,428,2550
decrease.02,0,0,0,0,0,65,39,26,65
delete.01,0,0,0,0,0,522,368,154,522
develop.01,0,0,0,0,0,187,135,52,187
Disrupt.01,0,0,0,0,0,452,178,274,452
eliminate.01,0,0,0,0,0,641,538,103,641
encode.01,0,0,0,0,0,556,290,266,556
express.01,0,0,0,0,0,1651,1353,298,1651
generate.01,0,0,0,0,0,1499,1277,222,1499
inhibit.01,0,0,0,0,0,1220,876,344,1220
Initiate.01,0,0,0,0,0,687,429,258,687
lead.01,0,0,0,0,0,1467,788,679,1467
lose.01,0,0,0,0,0,677,329,348,677
modify.01,0,0,0,0,0,148,70,78,148
Mutate.01,0,0,0,0,0,847,282,565,847
proliferate.01,0,0,0,0,0,575,331,244,575
recognize.01,0,0,0,0,0,597,415,182,597
result.01,0,0,0,0,0,4132,2177,1955,4132
Skip.01,0,0,0,0,0,1116,457,659,1116
splice.01,0,0,0,0,0,1201,861,340,1201
splice.02,0,0,0,0,0,727,498,229,727
Transcribe.01,0,0,0,0,0,1090,805,285,1090
transform.01,0,0,0,0,0,566,553,13,566
transform.02,0,0,0,0,0,1721,1667,54,1721
translate.01,0,0,0,0,0,827,734,93,827
translate.02,0,0,0,0,0,2661,2620,41,2661
translate.03,0,0,0,0,0,3573,2773,800,3573
Truncate.01,0,0,0,0,0,363,223,140,363
SUM,0,0,0,0,0,45582,32131,13451,45582
