predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,0,0,0,82,51,31,82
alter.01,0,0,0,0,0,89,58,31,89
begin.01,0,0,0,0,0,34,32,2,34
begin.02,0,0,0,0,0,232,160,72,232
block.01,0,0,0,0,0,145,98,47,145
catalyse.01,0,0,0,0,0,55,36,19,55
confer.01,0,0,0,0,0,243,153,90,243
decrease.01,0,0,0,0,0,170,145,25,170
decrease.02,0,0,0,0,0,4,1,3,4
delete.01,0,0,0,0,0,34,21,13,34
develop.01,0,0,0,0,0,12,10,2,12
Disrupt.01,0,0,0,0,0,30,14,16,30
eliminate.01,0,0,0,0,0,42,31,11,42
encode.01,0,0,0,0,0,37,19,18,37
express.01,0,0,0,0,0,110,93,17,110
generate.01,0,0,0,0,0,99,85,14,99
inhibit.01,0,0,0,0,0,81,59,22,81
Initiate.01,0,0,0,0,0,45,31,14,45
lead.01,0,0,0,0,0,97,51,46,97
lose.01,0,0,0,0,0,45,27,18,45
modify.01,0,0,0,0,0,9,4,5,9
Mutate.01,0,0,0,0,0,56,18,38,56
proliferate.01,0,0,0,0,0,38,21,17,38
recognize.01,0,0,0,0,0,39,21,18,39
result.01,0,0,0,0,0,275,157,118,275
Skip.01,0,0,0,0,0,74,28,46,74
splice.01,0,0,0,0,0,80,54,26,80
splice.02,0,0,0,0,0,48,31,17,48
Transcribe.01,0,0,0,0,0,72,57,15,72
transform.01,0,0,0,0,0,37,36,1,37
transform.02,0,0,0,0,0,114,109,5,114
translate.01,0,0,0,0,0,55,51,4,55
translate.02,0,0,0,0,0,177,172,5,177
translate.03,0,0,0,0,0,238,173,65,238
Truncate.01,0,0,0,0,0,24,18,6,24
SUM,0,0,0,0,0,3022,2125,897,3022
