predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,0,0,0,84,54,30,84
alter.01,0,0,2,0,0,89,53,36,91
begin.01,0,0,3,0,0,34,32,2,37
begin.02,0,0,9,0,0,227,155,72,236
block.01,0,0,5,0,0,144,97,47,149
catalyse.01,0,0,2,0,0,55,41,14,57
confer.01,0,0,3,0,0,244,162,82,247
decrease.01,0,0,3,0,0,171,140,31,174
decrease.02,0,0,0,0,0,5,2,3,5
delete.01,0,0,1,0,0,35,24,11,36
develop.01,0,0,3,0,0,12,10,2,15
Disrupt.01,0,0,1,0,0,30,11,19,31
eliminate.01,0,0,0,0,0,44,31,13,44
encode.01,0,0,1,0,0,37,22,15,38
express.01,0,0,3,0,0,109,88,21,112
generate.01,0,0,2,0,0,99,85,14,101
inhibit.01,0,0,6,0,0,78,57,21,84
Initiate.01,0,0,3,0,0,46,32,14,49
lead.01,0,0,2,0,0,97,53,44,99
lose.01,0,0,0,0,0,48,23,25,48
modify.01,0,0,3,0,0,10,2,8,13
Mutate.01,0,0,6,0,0,57,17,40,63
proliferate.01,0,0,2,0,0,39,24,15,41
recognize.01,0,0,2,0,0,39,26,13,41
result.01,0,0,5,0,0,275,156,119,280
Skip.01,0,0,5,0,0,73,30,43,78
splice.01,0,0,7,0,0,78,56,22,85
splice.02,0,0,4,0,0,48,33,15,52
Transcribe.01,0,0,9,0,0,69,45,24,78
transform.01,0,0,2,0,0,38,38,0,40
transform.02,0,0,4,0,0,114,110,4,118
translate.01,0,0,8,0,0,51,43,8,59
translate.02,0,0,8,0,0,174,171,3,182
translate.03,0,0,6,0,0,237,191,46,243
Truncate.01,0,0,4,0,0,25,15,10,29
SUM,0,0,124,0,0,3015,2129,886,3139
