predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,11,7,85,73,30,1126,860,266,1229
alter.01,10,4,154,92,76,1039,556,483,1207
begin.01,3,0,192,194,1,158,158,0,353
begin.02,3,0,245,248,0,1448,1448,0,1696
block.01,6,4,176,133,53,1109,665,444,1295
catalyse.01,5,0,125,108,22,380,285,95,510
confer.01,8,1,245,224,30,1188,1115,73,1442
decrease.01,6,4,263,227,46,517,487,30,790
decrease.02,3,0,52,55,0,99,99,0,154
delete.01,17,3,83,72,31,858,510,348,961
develop.01,4,1,165,78,92,34,34,0,204
Disrupt.01,15,1,67,31,52,356,106,250,439
eliminate.01,12,4,91,84,23,1147,849,298,1254
encode.01,9,6,99,76,38,723,499,224,837
express.01,15,3,148,139,27,1652,1432,220,1818
generate.01,13,5,99,75,42,1372,835,537,1489
inhibit.01,11,5,157,134,39,1112,905,207,1285
Initiate.01,11,5,176,145,47,593,472,121,785
lead.01,18,6,108,68,64,1664,693,971,1796
lose.01,11,0,195,114,92,898,637,261,1104
modify.01,3,3,241,96,151,201,67,134,448
Mutate.01,11,5,480,141,355,472,316,156,968
proliferate.01,10,0,173,168,15,738,701,37,921
recognize.01,14,5,77,72,24,1204,920,284,1300
result.01,14,5,312,87,244,1826,412,1414,2157
Skip.01,8,0,205,98,115,176,100,76,389
splice.01,12,0,279,216,75,689,455,234,980
splice.02,10,0,240,170,80,721,636,85,971
Transcribe.01,9,5,362,286,90,753,452,301,1129
transform.01,3,0,140,143,0,190,190,0,333
transform.02,6,0,204,129,81,645,516,129,855
translate.01,6,2,238,164,82,305,302,3,551
translate.02,4,0,273,240,37,392,392,0,669
translate.03,7,0,281,213,75,1442,1016,426,1730
Truncate.01,12,3,295,114,196,260,104,156,570
SUM,320,87,6725,4707,2425,27487,19224,8263,34619
